GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder Score,Country/Area,Regional indicator,Year
0.801,0.782,0.782,0.418,0.036,0.076,5.208,Morocco,Middle East and North Africa,2018
1.043,1.147,0.769,0.351,0.035,0.182,5.208,Azerbaijan,Commonwealth of Independent States,2018
0.987,1.224,0.815,0.216,0.166,0.027,5.197,Lebanon,Middle East and North Africa,2018
0.931,1.203,0.66,0.491,0.498,0.028,5.192,Indonesia,Southeast Asia,2018
1.029,1.125,0.893,0.521,0.058,0.1,5.191,China,East Asia,2018
0.741,1.346,0.851,0.543,0.147,0.073,5.175,Vietnam,Southeast Asia,2018
0.549,0.91,0.331,0.381,0.187,0.037,5.044,Cameroon,Sub-Saharan Africa,2018
1.092,1.513,0.815,0.311,0.081,0.004,5.011,Bulgaria,Central and Eastern Europe,2018
0.611,0.868,0.486,0.381,0.245,0.04,4.996,Ghana,Sub-Saharan Africa,2018
0.569,0.808,0.232,0.352,0.154,0.09,4.944,Ivory Coast,Sub-Saharan Africa,2018
0.446,1.226,0.677,0.439,0.285,0.089,4.913,Nepal,South Asia,2018
0.837,1.225,0.815,0.383,0.11,0.13,4.906,Jordan,Middle East and North Africa,2018
0.393,0.437,0.397,0.349,0.175,0.082,4.883,Benin,Sub-Saharan Africa,2018
0.673,0.799,0.508,0.372,0.105,0.093,4.812,Congo (Brazzaville),Sub-Saharan Africa,2018
1.057,1.183,0.571,0.295,0.043,0.055,4.799,Gabon,Sub-Saharan Africa,2018
0.764,1.03,0.551,0.547,0.266,0.164,4.796,Laos,Southeast Asia,2018
0.96,1.351,0.469,0.389,0.13,0.055,4.722,South Africa,Sub-Saharan Africa,2018
0.947,0.848,0.874,0.383,0.178,0.027,4.719,Albania,Central and Eastern Europe,2018
0.96,1.427,0.805,0.154,0.064,0.047,4.707,Venezuela,Latin America and Caribbean,2018
0.574,1.122,0.637,0.609,0.232,0.062,4.7,Cambodia,Southeast Asia,2018
0.657,1.247,0.672,0.225,0.103,0.066,4.696,Palestinian Territories,Middle East and North Africa,2018
0.45,1.134,0.571,0.292,0.153,0.072,4.681,Senegal,Sub-Saharan Africa,2018
0.879,1.313,0.477,0.401,0.07,0.056,4.639,Namibia,Sub-Saharan Africa,2018
0.138,0.774,0.366,0.318,0.188,0.102,4.628,Niger,Sub-Saharan Africa,2018
0.331,1.056,0.38,0.255,0.177,0.113,4.587,Burkina Faso,Sub-Saharan Africa,2018
0.85,1.055,0.815,0.283,0.095,0.064,4.559,Armenia,Commonwealth of Independent States,2018
1.1,0.842,0.785,0.305,0.27,0.125,4.548,Iran,Middle East and North Africa,2018
0.38,0.829,0.375,0.332,0.207,0.086,4.534,Guinea,Sub-Saharan Africa,2018
0.886,0.666,0.752,0.346,0.043,0.164,4.519,Georgia,Commonwealth of Independent States,2018
0.308,0.939,0.428,0.382,0.269,0.167,4.516,Gambia,Sub-Saharan Africa,2018
0.512,0.983,0.581,0.431,0.372,0.053,4.509,Kenya,Sub-Saharan Africa,2018
0.57,1.167,0.489,0.066,0.106,0.088,4.49,Mauritania,Sub-Saharan Africa,2018
0.204,0.986,0.39,0.494,0.197,0.138,4.466,Mozambique,Sub-Saharan Africa,2018
0.921,1.0,0.815,0.167,0.059,0.055,4.461,Tunisia,Middle East and North Africa,2018
0.562,0.928,0.723,0.527,0.166,0.143,4.456,Bangladesh,South Asia,2018
1.043,0.98,0.574,0.241,0.148,0.089,4.437,Iraq,Middle East and North Africa,2018
0.385,1.105,0.308,0.327,0.153,0.052,4.39,Mali,Sub-Saharan Africa,2018
0.268,0.841,0.242,0.309,0.252,0.045,4.374,Sierra Leone,Sub-Saharan Africa,2018
0.949,1.265,0.831,0.47,0.244,0.047,4.366,Sri Lanka,South Asia,2018
0.71,1.181,0.555,0.525,0.566,0.172,4.36,Myanmar,Southeast Asia,2018
0.35,0.766,0.192,0.174,0.198,0.078,4.35,Chad,Sub-Saharan Africa,2018
0.82,1.39,0.739,0.178,0.187,0.01,4.332,Ukraine,Commonwealth of Independent States,2018
0.336,1.033,0.532,0.344,0.209,0.1,4.286,Ethiopia,Sub-Saharan Africa,2018
0.811,1.149,,0.313,0.074,0.135,4.212,Swaziland,Sub-Saharan Africa,2018
0.332,1.069,0.443,0.356,0.252,0.06,4.189,Uganda,Sub-Saharan Africa,2018
0.913,1.039,0.644,0.241,0.076,0.067,4.166,Egypt,Middle East and North Africa,2018
0.578,1.058,0.426,0.431,0.247,0.087,4.107,Zambia,Sub-Saharan Africa,2018
0.275,0.572,0.41,0.293,0.177,0.085,4.085,Togo,Sub-Saharan Africa,2018
0.755,0.765,0.588,0.498,0.2,0.085,4.015,India,South Asia,2018
0.073,0.922,0.443,0.37,0.233,0.033,3.975,Liberia,Sub-Saharan Africa,2018
0.274,0.757,0.505,0.142,0.275,0.078,3.973,Comoros,Sub-Saharan Africa,2018
0.274,0.916,0.555,0.148,0.169,0.041,3.933,Madagascar,Sub-Saharan Africa,2018
0.489,1.169,0.168,0.359,0.107,0.093,3.802,Lesotho,Sub-Saharan Africa,2018
0.046,0.447,0.38,0.22,0.176,0.18,3.775,Burundi,Sub-Saharan Africa,2018
0.366,1.114,0.433,0.361,0.151,0.089,3.663,Zimbabwe,Sub-Saharan Africa,2018
0.323,0.688,0.449,0.026,0.419,0.11,3.597,Haiti,Latin America and Caribbean,2018
1.041,1.145,0.538,0.455,0.025,0.1,3.488,Botswana,Sub-Saharan Africa,2018
0.191,0.56,0.495,0.443,0.218,0.089,3.41,Malawi,Sub-Saharan Africa,2018
0.287,1.163,0.463,0.143,0.108,0.077,3.38,Yemen,Middle East and North Africa,2018
0.359,0.711,0.614,0.555,0.217,0.411,3.334,Rwanda,Sub-Saharan Africa,2018
0.476,0.885,0.499,0.417,0.276,0.147,3.231,Tanzania,Sub-Saharan Africa,2018
0.35,0.517,0.361,,0.158,0.025,3.203,Afghanistan,South Asia,2018
1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,7.537000179,Norway,Western Europe,2019
1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068,7.521999836,Denmark,Western Europe,2019
1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,7.504000187,Iceland,Western Europe,2019
1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,7.493999958,Switzerland,Western Europe,2019
1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543,7.468999863,Finland,Western Europe,2019
1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,0.282661825,7.376999855,Netherlands,Western Europe,2019
1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516,7.315999985,Canada,North America and ANZ,2019
1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,0.382816702,7.31400013,New Zealand,North America and ANZ,2019
1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,7.28399992,Sweden,Western Europe,2019
1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,7.28399992,Australia,North America and ANZ,2019
1.375382423,1.376289964,0.838404,0.405988604,0.330082655,0.0852421,7.212999821,Israel,Middle East and North Africa,2019
1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.100106589,7.078999996,Costa Rica,Latin America and Caribbean,2019
1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,7.006000042,Austria,Western Europe,2019
1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788,6.993000031,United States,North America and ANZ,2019
1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153,6.977000237,Ireland,Western Europe,2019
1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938,6.951000214,Germany,Western Europe,2019
1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131,6.890999794,Belgium,Western Europe,2019
1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424,6.862999916,Luxembourg,Western Europe,2019
1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066,6.714000225,United Kingdom,Western Europe,2019
1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,0.082287982,6.65199995,Chile,Latin America and Caribbean,2019
1.626343369,1.266410232,0.726798236,0.60834527,0.360941947,0.324489564,6.647999763,United Arab Emirates,Middle East and North Africa,2019
1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761,6.635000229,Brazil,Latin America and Caribbean,2019
1.352682352,1.433885217,0.754444003,0.490946174,0.088106759,0.036872927,6.609000206,Czech Republic,Central and Eastern Europe,2019
1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,0.059739888,6.598999977,Argentina,Latin America and Caribbean,2019
1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115,6.578000069,Mexico,Latin America and Caribbean,2019
1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,0.464307785,6.572000027,Singapore,Southeast Asia,2019
1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,0.153066069,6.52699995,Malta,Western Europe,2019
1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,6.453999996,Uruguay,Latin America and Caribbean,2019
0.872001946,1.255585194,0.54023999,0.531310618,0.283488393,0.077223279,6.453999996,Guatemala,Latin America and Caribbean,2019
1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924,6.452000141,Panama,Latin America and Caribbean,2019
1.430923462,1.387776852,0.844465852,0.470222116,0.129762307,0.172502428,6.441999912,France,Western Europe,2019
1.127868772,1.425792456,0.647239029,0.580200732,0.57212311,0.031612735,6.423999786,Thailand,Southeast Asia,2019
1.433626533,1.384565353,0.793984234,0.361466587,0.258360475,0.063829236,6.421999931,Taiwan,East Asia,2019
1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,0.070914097,6.402999878,Spain,Western Europe,2019
1.070622325,1.402182937,0.595027924,0.477487415,0.149014473,0.046668742,6.356999874,Colombia,Latin America and Caribbean,2019
1.530623555,1.286677599,0.59014833,0.449750572,0.147616014,0.273432255,6.343999863,Saudi Arabia,Middle East and North Africa,2019
1.632952452,1.259698749,0.632105708,0.496337593,0.228289798,0.21515955,6.105000019,Kuwait,Middle East and North Africa,2019
1.325393558,1.505059242,0.712732911,0.295817465,0.136544481,0.024210852,6.09800005,Slovakia,Central and Eastern Europe,2019
1.488412261,1.323110461,0.653133035,0.536746919,0.172668487,0.25704217,6.086999893,Bahrain,Middle East and North Africa,2019
1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,0.065600708,6.084000111,Malaysia,Southeast Asia,2019
0.737299204,1.28721571,0.653095961,0.447551847,0.301674217,0.130687982,6.071000099,Nicaragua,Latin America and Caribbean,2019
1.000820398,1.286168814,0.685636222,0.455198199,0.150112465,0.140134647,6.007999897,Ecuador,Latin America and Caribbean,2019
0.909784496,1.182125092,0.596018553,0.43245253,0.078257985,0.08998096,6.002999783,El Salvador,Latin America and Caribbean,2019
1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,0.059307806,5.97300005,Poland,Central and Eastern Europe,2019
0.786441088,1.54896915,0.498272628,0.658248663,0.415983647,0.246528223,5.971000195,Uzbekistan,Commonwealth of Independent States,2019
1.395066619,1.444923282,0.853144348,0.256450713,0.172789648,0.028028091,5.964000225,Italy,Western Europe,2019
1.281778097,1.469282389,0.547349334,0.373783112,0.052263822,0.032962881,5.962999821,Russia,Commonwealth of Independent States,2019
1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,5.920000076,Japan,East Asia,2019
1.314582348,1.473516107,0.62894994,0.234231785,0.010164657,0.011865643,5.90199995,Lithuania,Central and Eastern Europe,2019
1.091864467,1.146217465,0.617584646,0.233335808,0.069436647,0.14609611,5.872000217,Algeria,Middle East and North Africa,2019
1.260748625,1.404714942,0.638566971,0.325707912,0.153074786,0.073842727,5.849999905,Latvia,Central and Eastern Europe,2019
1.401678443,1.128274441,0.900214076,0.257921666,0.206674367,0.063282669,5.837999821,South Korea,East Asia,2019
0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,0.010091286,5.837999821,Moldova,Commonwealth of Independent States,2019
1.217683911,1.15009129,0.685158312,0.457003742,0.133519918,0.004387901,5.824999809,Romania,Central and Eastern Europe,2019
0.833756566,1.227619052,0.47363025,0.558732927,0.225560725,0.060477726,5.822999954,Bolivia,Latin America and Caribbean,2019
1.130776763,1.493149161,0.43772608,0.418271929,0.249924988,0.25927034,5.822000027,Turkmenistan,Commonwealth of Independent States,2019
1.28455627,1.384369016,0.606041551,0.437454283,0.201964423,0.119282886,5.818999767,Kazakhstan,Commonwealth of Independent States,2019
1.346911311,1.186303377,0.834647238,0.471203625,0.266845703,0.155353352,5.809999943,Northern Cyprus,Western Europe,2019
1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,0.045128979,5.757999897,Slovenia,Central and Eastern Europe,2019
1.035225272,1.218770385,0.630166113,0.450002879,0.126819715,0.047049087,5.715000153,Peru,Latin America and Caribbean,2019
1.189395547,1.20956099,0.638007462,0.491247326,0.360933751,0.042181555,5.629000187,Mauritius,Sub-Saharan Africa,2019
1.355938077,1.131363273,0.844714701,0.355111539,0.271254301,0.041237976,5.620999813,Cyprus,Western Europe,2019
1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,0.183248922,5.611000061,Estonia,Central and Eastern Europe,2019
1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,0.156313822,5.568999767,Belarus,Commonwealth of Independent States,2019
1.101803064,1.35756433,0.52016902,0.46573323,0.152073666,0.09261021,5.525000095,Libya,Middle East and North Africa,2019
1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,0.09967158,5.5,Turkey,Middle East and North Africa,2019
0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,5.493000031,Paraguay,Latin America and Caribbean,2019
0.857699215,1.253917575,0.468009055,0.585214674,0.193513423,0.099331893,5.429999828,Philippines,Southeast Asia,2019
1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,0.040903781,5.394999981,Serbia,Central and Eastern Europe,2019
0.991012394,1.239088893,0.604590058,0.418421149,0.17217046,0.119803272,5.335999966,Jordan,Middle East and North Africa,2019
1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,0.036636937,5.323999882,Hungary,Central and Eastern Europe,2019
0.925579309,1.368218064,0.641022384,0.474307239,0.233818337,0.055267781,5.31099987,Jamaica,Latin America and Caribbean,2019
1.222556233,0.967983007,0.701288521,0.255772293,0.248002976,0.04310311,5.293000221,Croatia,Central and Eastern Europe,2019
0.951484382,1.137853503,0.54145205,0.260287941,0.319931448,0.057471618,5.278999805,Kosovo,Central and Eastern Europe,2019
1.081165791,1.160837412,0.741415501,0.472787708,0.028806841,0.022794275,5.272999763,China,East Asia,2019
0.726883531,0.67269069,0.402047783,0.235215262,0.315446019,0.124348067,5.269000053,Pakistan,South Asia,2019
0.995538592,1.274444699,0.492345721,0.443323463,0.611704588,0.015317135,5.262000084,Indonesia,Southeast Asia,2019
1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,0.064491123,5.25,Venezuela,Latin America and Caribbean,2019
1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,0.088174194,5.236999989,Montenegro,Central and Eastern Europe,2019
0.878114581,0.774864435,0.597710669,0.408158332,0.032209955,0.087763183,5.235000134,Morocco,Middle East and North Africa,2019
1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,0.180987507,5.234000206,Azerbaijan,Commonwealth of Independent States,2019
1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,5.230000019,Dominican Republic,Latin America and Caribbean,2019
1.289487481,1.239414573,0.810198903,0.095731251,,0.043289777,5.227000237,Greece,Western Europe,2019
1.074987531,1.129624248,0.735081077,0.288515985,0.264450759,0.03751383,5.224999905,Lebanon,Middle East and North Africa,2019
1.315175295,1.367043018,0.795843542,0.4984653,0.095102713,0.015869452,5.195000172,Portugal,Western Europe,2019
0.982409418,1.069335938,0.705186307,0.204403177,0.328867495,,5.18200016,Bosnia and Herzegovina,Central and Eastern Europe,2019
0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,0.073345453,5.181000233,Honduras,Latin America and Caribbean,2019
0.788547575,1.277491331,0.652168989,0.571055591,0.234968051,0.087633237,5.073999882,Vietnam,Southeast Asia,2019
0.783756256,1.215770483,0.05691573,0.394952565,0.230947196,0.026121566,5.073999882,Nigeria,Sub-Saharan Africa,2019
0.524713635,1.271463275,0.529235125,0.471566707,0.248997644,0.146377146,5.040999889,Tajikistan,Commonwealth of Independent States,2019
0.596220076,1.394238591,0.553457797,0.454943389,0.428580374,0.039439179,5.004000187,Kyrgyzstan,Commonwealth of Independent States,2019
0.479820192,1.179283261,0.504130781,0.440305948,0.394096166,0.072975546,4.961999893,Nepal,South Asia,2019
1.027235866,1.493011236,0.557783484,0.394143969,0.33846423,0.032902289,4.954999924,Mongolia,East Asia,2019
1.054698706,1.384788632,0.18708007,0.479246736,0.13936238,0.072509497,4.828999996,South Africa,Sub-Saharan Africa,2019
1.007265806,0.86835146,0.613212049,0.28968069,0.049693357,0.086723149,4.804999828,Tunisia,Middle East and North Africa,2019
0.716249228,1.155647159,0.565666974,0.254711062,0.114173174,0.089282602,4.775000095,Palestinian Territories,Middle East and North Africa,2019
0.989701807,0.997471392,0.520187259,0.282110155,0.128631443,0.114381365,4.735000134,Egypt,Middle East and North Africa,2019
1.161459088,1.434379458,0.70821768,0.289231718,0.113177694,0.011051531,4.714000225,Bulgaria,Central and Eastern Europe,2019
0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,0.071095176,4.709000111,Sierra Leone,Sub-Saharan Africa,2019
0.564305365,0.946018219,0.132892117,0.430388749,0.236298457,0.051306631,4.695000172,Cameroon,Sub-Saharan Africa,2019
1.156873107,0.711551249,0.639333189,0.249322608,0.387242913,0.048761073,4.691999912,Iran,Middle East and North Africa,2019
0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,0.039864216,4.644000053,Albania,Central and Eastern Europe,2019
0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,0.123717859,4.607999802,Bangladesh,South Asia,2019
0.964434326,1.098470807,0.338611811,0.520303547,0.077133745,0.093146972,4.573999882,Namibia,Sub-Saharan Africa,2019
0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,0.064641319,4.552999973,Kenya,Sub-Saharan Africa,2019
0.23430565,0.870701015,0.106654435,0.480791092,0.322228104,0.179436386,4.550000191,Mozambique,Sub-Saharan Africa,2019
0.36711055,1.123235941,0.397522569,0.514492035,0.838075161,0.188816205,4.545000076,Myanmar,Southeast Asia,2019
0.479309022,1.179691911,0.409362853,0.377922267,0.183468893,0.115460448,4.534999847,Senegal,Sub-Saharan Africa,2019
0.636406779,1.003187299,0.257835895,0.461603492,0.249580145,0.07821355,4.513999939,Zambia,Sub-Saharan Africa,2019
1.102710485,0.978613198,0.50118047,0.288555533,0.199637264,0.107215755,4.497000217,Iraq,Middle East and North Africa,2019
1.198210239,1.155620217,0.356578588,0.312328577,0.043785378,0.076046787,4.465000153,Gabon,Sub-Saharan Africa,2019
0.339233845,0.864669204,0.353409708,0.408842742,0.31265074,0.165455714,4.460000038,Ethiopia,Sub-Saharan Africa,2019
1.009850144,1.259976387,0.625130832,0.561213255,0.490863562,0.073653966,4.440000057,Sri Lanka,South Asia,2019
0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422,4.375999928,Armenia,Commonwealth of Independent States,2019
0.792221248,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885,4.315000057,India,South Asia,2019
0.648457289,1.27203083,0.28534928,0.096098043,0.201870024,0.136957005,4.291999817,Mauritania,Sub-Saharan Africa,2019
0.808964252,0.832044363,0.289957434,0.435025871,0.120852128,0.079618134,4.290999889,Congo (Brazzaville),Sub-Saharan Africa,2019
0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635,4.285999775,Georgia,Commonwealth of Independent States,2019
0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.104970247,4.190000057,Mali,Sub-Saharan Africa,2019
0.603048921,0.90478003,0.04864217,0.447706193,0.20123747,0.130061775,4.179999828,Ivory Coast,Sub-Saharan Africa,2019
0.601765096,1.006238341,0.429783404,0.633375823,0.385922968,0.068105951,4.168000221,Cambodia,Southeast Asia,2019
0.667224824,0.873664737,0.295637727,0.423026294,0.256923944,0.02533637,4.119999886,Ghana,Sub-Saharan Africa,2019
0.894651949,1.394537568,0.575903952,0.122974776,0.270061463,0.023029471,4.096000195,Ukraine,Commonwealth of Independent States,2019
0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,0.057069719,4.080999851,Uganda,Sub-Saharan Africa,2019
0.350227714,1.043280005,0.215844259,0.324367851,0.250864685,0.120328106,4.032000065,Burkina Faso,Sub-Saharan Africa,2019
0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,0.138572946,4.027999878,Niger,Sub-Saharan Africa,2019
0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,0.072711654,3.970000029,Malawi,Sub-Saharan Africa,2019
0.438012987,0.953855872,0.041134715,0.162342027,0.21611385,0.053581882,3.936000109,Chad,Sub-Saharan Africa,2019
0.375846535,1.083095908,0.196763754,0.336384207,0.189143494,0.095375381,3.875,Zimbabwe,Sub-Saharan Africa,2019
0.521021247,1.190095186,,0.390661299,0.157497272,0.11909464,3.808000088,Lesotho,Sub-Saharan Africa,2019
0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,3.79399991,Afghanistan,South Asia,2019
1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,0.098583199,3.766000032,Botswana,Sub-Saharan Africa,2019
0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,3.657000065,Benin,Sub-Saharan Africa,2019
0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975,3.644000053,Madagascar,Sub-Saharan Africa,2019
0.368610263,0.640449822,0.27732113,0.030369857,0.489203781,0.09987215,3.602999926,Haiti,Latin America and Caribbean,2019
0.591683447,0.935382247,0.310080916,0.249463722,0.104125209,0.056767423,3.592999935,Yemen,Middle East and North Africa,2019
0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249,3.532999992,Liberia,Sub-Saharan Africa,2019
0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,0.110937618,3.506999969,Guinea,Sub-Saharan Africa,2019
0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,0.095665015,3.494999886,Togo,Sub-Saharan Africa,2019
0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,0.455220014,3.470999956,Rwanda,Sub-Saharan Africa,2019
0.511135876,1.041989803,0.364509284,0.390017778,0.354256362,0.066035107,3.348999977,Tanzania,Sub-Saharan Africa,2019
0.091622569,0.629793584,0.151610792,0.059900753,0.204435185,0.084147945,2.904999971,Burundi,Sub-Saharan Africa,2019
